date,impressions,clicks,spend
2023-01-01,2284,170,12.33
2023-01-02,3628,190,15.63
2023-01-03,3402,174,13.75
2023-01-04,3332,171,14.46
2023-01-05,9000,374,66.42
2023-01-06,13283,524,107.96
2023-01-07,14660,507,118.38
2023-01-08,18347,644,137.17
2023-01-09,13509,408,121.84
2023-01-10,11469,368,121.68
2023-01-11,15223,483,142.63
2023-01-12,14694,450,143.17
2023-01-13,13455,365,128.49
2023-01-14,13721,378,132.11
2023-01-15,9852,314,106.35
2023-01-16,12002,358,128.86
2023-01-17,12502,373,131.98
2023-01-18,7987,244,84.55
2023-01-19,7542,209,81.76
2023-01-20,4722,151,61.74
2023-01-21,5912,175,65.96
2023-01-22,7188,249,70.73
2023-01-23,8733,417,75.06
2023-01-24,9228,415,74.41
2023-01-25,9342,323,72.48
2023-01-26,7939,324,64.93
2023-01-27,7675,249,63.26
2023-01-28,6498,258,62.27
2023-01-29,6376,257,59.74
2023-01-30,6245,204,58.49
2023-01-31,5529,190,52.15
2023-02-01,4076,155,41.04
2023-02-02,1884,39,29.15
2023-02-03,2034,40,30.31
2023-02-04,2236,42,30.64
2023-02-05,1850,47,32.06
2023-02-06,2040,40,30.8
2023-02-07,5204,251,46.97
2023-02-08,5524,282,47.55
2023-02-09,5469,264,49.85
2023-02-10,4608,219,48.04
2023-02-11,4869,242,51.16
2023-02-12,7120,333,64.73
2023-02-13,6303,278,62.35
2023-02-14,7097,267,62.5
2023-02-15,7121,274,64.77
2023-02-16,7436,262,75.99
2023-02-17,4104,111,55.18
2023-02-18,2571,68,45.04
2023-02-19,1234,46,21.4
2023-02-20,11162,410,112.5
2023-02-21,14150,427,127.11
2023-02-22,12916,352,117.11
2023-02-23,12269,364,119.61
2023-02-24,12414,346,121.16
2023-02-25,14420,442,131.89
2023-02-26,16095,542,138.37
2023-02-27,16095,527,127.79
2023-02-28,16808,598,136.71
2023-03-01,9154,379,66.38
2023-03-02,5562,249,40.17
2023-03-03,4768,164,34.71
2023-03-04,5815,231,41.55
2023-03-05,6090,212,41.69
2023-03-06,7095,320,48.51
2023-03-07,11430,502,82.54
2023-03-08,11136,439,81.77
2023-03-09,7150,264,53.93
2023-03-10,3546,91,26.72
2023-03-11,3452,101,27.19
2023-03-12,16836,438,139.09
2023-03-13,22591,540,176.2
2023-03-14,21385,513,174.23
2023-03-15,13607,298,115.33
2023-03-16,8796,230,75.55
2023-03-18,404,9,5.36
2023-03-19,741,22,8.72
2023-03-20,677,21,8.99
2023-03-21,375,26,8.62
2023-03-22,651,23,10.73
2023-03-23,3205,159,28.07
2023-03-24,3438,103,29.75
2023-03-25,3698,153,32.54
2023-03-26,4011,134,34.06
2023-03-27,3862,121,31.62
2023-03-28,3702,104,30.68
2023-03-29,2439,81,22.13
2023-03-30,2343,83,22.76
2023-03-31,3180,220,30.22
2023-04-01,2944,164,21.65
2023-04-02,1894,153,10.76
2023-04-03,1698,131,9.36
2023-04-04,2542,171,19.11
2023-04-05,2824,184,24.93
2023-04-06,1711,73,17.35
2023-04-07,1697,67,18.22
2023-04-08,1548,63,18.17
2023-04-09,15370,299,117.59
2023-04-10,19747,367,147.12
2023-04-11,20307,394,157.56
2023-04-12,19370,381,158.86
2023-04-13,18476,340,158.57
2023-04-14,17448,341,158.82
2023-04-15,20180,365,162.72
2023-04-16,10862,212,95.53
2023-04-17,6597,142,54.26
2023-04-18,5873,90,49.03
2023-04-19,6243,121,53.52
2023-04-20,6201,149,56.46
2023-04-21,7016,165,61.28
2023-04-22,8948,212,85.02
2023-04-23,11450,285,87.36
2023-04-24,9091,238,90.23
2023-04-25,4551,132,50.22
2023-04-26,5047,136,54.1
2023-04-27,6063,177,58.93
2023-04-28,6626,210,60.84
2023-04-29,6603,184,60.87
2023-04-30,8251,218,68.83
2023-05-01,9533,279,85.43
2023-05-02,6236,227,61.16
2023-05-03,3583,127,40.4
2023-05-04,2858,104,33.52
2023-05-05,4200,180,45.79
2023-05-06,3358,127,33.08
2023-05-07,13252,327,214.38
2023-05-08,4326,153,83
2023-05-09,4043,139,76.44
2023-05-10,4305,135,82.01
2023-05-11,2981,113,75.74
2023-05-12,3156,106,76.36
2023-05-13,4687,212,81.41
2023-05-14,6893,269,90.5
2023-05-15,6276,249,98.27
2023-05-16,5927,241,98.29
2023-05-17,5531,202,85.49
2023-05-18,5886,202,85.1
2023-05-19,4590,112,70.58
2023-05-20,4309,103,70.26
2023-05-21,5050,144,76.05
2023-05-22,5423,103,78.95
2023-05-23,5074,124,81.17
2023-05-24,4932,106,79.56
2023-05-25,2761,78,41.78
2023-05-26,1397,79,13.57
2023-05-27,1635,103,14.93
2023-05-28,4565,136,59.35
2023-05-29,4609,151,61.76
2023-05-30,4666,147,65.23
2023-05-31,1934,75,23.37
2023-06-03,3828,121,43.39
2023-06-04,5653,207,60.43
2023-06-05,5516,229,77.99
2023-06-06,6877,356,96.71
2023-06-07,7570,443,94.09
2023-06-08,7597,409,100.46
2023-06-09,7127,339,94.33
2023-06-10,7326,342,92.91
2023-06-11,9544,468,127.37
2023-06-12,7730,292,116.34
2023-06-13,6540,181,90.9
2023-06-14,6377,192,89.25
2023-06-15,6146,189,86.4
2023-06-16,4269,137,67.48
2023-06-17,4659,144,61.37
2023-06-18,4188,163,62.29
2023-06-19,4580,141,59.33
2023-06-20,4864,134,60.69
2023-06-21,4518,108,58.43
2023-06-22,4868,115,58.14
2023-06-23,4715,126,55.49
2023-06-24,1706,81,20.82
2023-06-25,3362,153,32.42
2023-06-26,2186,95,16.67
2023-06-27,2168,111,16.58
2023-06-28,2259,118,16.74
2023-06-29,2180,88,15.93
2023-06-30,978,68,8.7
2023-07-02,1049,85,5.76
2023-07-03,1498,135,7.47
2023-07-04,3311,187,18.42
2023-07-05,4761,202,30.82
2023-07-06,3386,186,23.65
2023-07-07,3176,160,22.06
2023-07-08,2828,87,19.67
2023-07-09,3049,66,23.8
2023-07-10,1567,54,12.7
2023-07-11,1062,54,10.22
2023-07-12,1587,100,14.15
2023-07-13,4973,256,71.95
2023-07-14,5161,203,71.11
2023-07-15,6216,260,80.12
2023-07-16,8056,287,90.93
2023-07-17,11893,450,145.53
2023-07-18,11664,383,146.71
2023-07-19,11589,398,147.97
2023-07-20,14862,457,178.2
2023-07-21,12732,422,159.92
2023-07-22,12607,403,152.16
2023-07-23,12817,349,158.67
2023-07-24,9906,312,126.31
